PNPDeviceID,availability,batteryRechargeTime,batteryStatus,caption,chemistry,configManagerErrorCode,configManagerUserConfig,creationClassName,description,designCapacity,designVoltage,deviceID,errorCleared,errorDescription,estimatedChargeRemaining,estimatedRunTime,expectedBatteryLife,expectedLife,fullChargeCapacity,lastErrorCode,maxRechargeTime,name,near,plugged,powerManagementSupported,smartBatteryVersion,status,statusInfo,systemCreationClassName,systemName,timeOnBattery,timeToFullCharge,timestamp,username
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:06:04.238Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:10:44.304Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:11:50.252Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:12:53.048Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:13:55.963Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:14:59.848Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:16:03.168Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:17:06.580Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:22:07.218Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12142, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:23:12.316Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12141, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:24:16.442Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12141, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:25:22.273Z,m.daniel
,2,,2,Batterie interne,6,,,Win32_Battery,Batterie interne,,12141, 4160LGC45N1153,,,98,71582788,,,,,,45N1153,0,1,0,,OK,,Win32_ComputerSystem,MD-8178-T540P,,,2020-01-20T08:26:25.102Z,m.daniel
